game_id	identifier	name	description
1	master-ball	TWFzdGVyIEJhbGw=	TGEgUG9rw6kgQmFsbCBkZWZpbml0aXZhLiBBdHJhcGEgY3VhbHF1aWVyIFBva8OpbW9uCnNhbHZhamUgeSBubyBmYWxsYSBudW5jYS4=
2	ultra-ball	VWx0cmEgQmFsbA==	UG9rw6kgQmFsbCBkZSByZW5kaW1pZW50byBzdXBlcmlvci4gVGllbmUgdW4gw61uZGljZQpkZSDDqXhpdG8gbWF5b3IgYWwgZGUgbGEgU3VwZXIgQmFsbC4=
3	great-ball	U3VwZXIgQmFsbA==	UG9rw6kgQmFsbCBkZSBhbHRvIHJlbmRpbWllbnRvLiBUaWVuZSB1biDDrW5kaWNlIGRlCsOpeGl0byBzdXBlcmlvciBhbCBkZSBsYSBQb2vDqSBCYWxsLg==
4	poke-ball	UG9rw6kgQmFsbA==	RGlzcG9zaXRpdm8gY29uIGRpc2XDsW8gY2Fwc3VsYXIgcXVlIGF0cmFwYQpQb2vDqW1vbiBzYWx2YWplcy4gU2UgbGFuemEgY29tbyB1bmEgYm9sYQpjb250cmEgZWwgYmxhbmNvLg==
5	safari-ball	U2FmYXJpIEJhbGw=	UG9rw6kgQmFsbCBjb24gdW4gZGlzZcOxbyBkZSBjYW11ZmxhamUgcXVlIHNlIHV0aWxpemEKw7puaWNhbWVudGUgZW4gbGEgWm9uYSBTYWZhcmku
6	net-ball	TWFsbGEgQmFsbA==	RXMgYWxnbyBkaXN0aW50YSBhIGxhcyBkZW3DoXMuIEZ1bmNpb25hCmVzcGVjaWFsbWVudGUgYmllbiBjb24gbG9zIFBva8OpbW9uIGRlIHRpcG8KQWd1YSB5IEJpY2hvLg==
7	dive-ball	QnVjZW8gQmFsbA==	RXMgYWxnbyBkaXN0aW50YSBhIGxhcyBkZW3DoXMuIEZ1bmNpb25hCmVzcGVjaWFsbWVudGUgYmllbiBjb24gbG9zIFBva8OpbW9uIHF1ZSB2aXZlbgpiYWpvIGVsIGFndWEu
8	nest-ball	TmlkbyBCYWxs	RXMgYWxnbyBkaXN0aW50YSBhIGxhcyBkZW3DoXMuIEZ1bmNpb25hCmVzcGVjaWFsbWVudGUgYmllbiBjb24gbG9zIFBva8OpbW9uIHNhbHZhamVzCmRlIG5pdmVsIGJham8u
9	repeat-ball	QWNvcGlvIEJhbGw=	RXMgYWxnbyBkaXN0aW50YSBhIGxhcyBkZW3DoXMuIEZ1bmNpb25hCmVzcGVjaWFsbWVudGUgYmllbiBjb24gbGFzIGVzcGVjaWVzIGRlIFBva8OpbW9uCnF1ZSB5YSBoYXMgY2FwdHVyYWRvLg==
10	timer-ball	VHVybm8gQmFsbA==	VW5hIFBva8OpIEJhbGwgYWxnbyBkaXN0aW50YSBxdWUgdmEgbWVqb3JhbmRvIHN1CnJlbmRpbWllbnRvIGNvbiBjYWRhIHR1cm5vIGRlIGNvbWJhdGUu
11	luxury-ball	THVqbyBCYWxs	QWNvZ2Vkb3JhIFBva8OpIEJhbGwgcXVlIGhhY2UgbcOhcyBhbWlzdG9zb3MgYSBsb3MKUG9rw6ltb24gc2FsdmFqZXMgY2FwdHVyYWRvcy4=
12	premier-ball	SG9ub3IgQmFsbA==	RXMgdW5hIFBva8OpIEJhbGwgYWxnbyBzaW5ndWxhciBxdWUgc2UgY3Jlw7MgcGFyYQpjb25tZW1vcmFyIGFsZ8O6biBhY29udGVjaW1pZW50by4=
13	dusk-ball	T2Nhc28gQmFsbA==	RXMgYWxnbyBwYXJ0aWN1bGFyLiBIYWNlIHF1ZSBzZWEgbcOhcyBmw6FjaWwgY2FwdHVyYXIKYSBsb3MgUG9rw6ltb24gc2FsdmFqZXMgcG9yIGxhIG5vY2hlIG8gZW4gbHVnYXJlcwpvc2N1cm9zLg==
14	heal-ball	U2FuYSBCYWxs	UG9rw6kgQmFsbCBjdXJhdGl2YSBxdWUgcmVzdGF1cmEgbG9zIFBTIHkgY3VyYSB0b2Rvcwpsb3MgcHJvYmxlbWFzIGRlIGVzdGFkbyBkZSB1biBQb2vDqW1vbiBkZXNwdcOpcwpkZSBjYXB0dXJhcmxvLg==
15	quick-ball	VmVsb3ogQmFsbA==	VW5hIFBva8OpIEJhbGwgYWxnbyBkaXN0aW50YSBxdWUgcG90ZW5jaWEgZWwgw61uZGljZQpkZSBjYXB0dXJhIHNpIHNlIHVzYSBhbCBpbmljaW8gZGUgdW4gZW5jdWVudHJvIGNvbgpQb2vDqW1vbiBzYWx2YWplcy4=
16	cherish-ball	R2xvcmlhIEJhbGw=	RXMgdW5hIFBva8OpIEJhbGwgYmFzdGFudGUgc2luZ3VsYXIgcXVlIHNlIGNyZcOzCnBhcmEgY29ubWVtb3JhciBhbGd1bmEgb2Nhc2nDs24gZXNwZWNpYWwu
17	potion	UG9jacOzbg==	TWVkaWNpbmEgZW4gZXNwcmF5IHF1ZSBjdXJhIGhlcmlkYXMgeSByZXN0YXVyYQoyMCBQUyBhIHVuIFBva8OpbW9uLg==
18	antidote	QW50w61kb3Rv	TWVkaWNpbmEgZW4gZXNwcmF5IHF1ZSBjb250cmFycmVzdGEgbG9zIGVmZWN0b3MKZGVsIHZlbmVubyBlbiB1biBQb2vDqW1vbi4=
19	burn-heal	QW50aXF1ZW1hcg==	TWVkaWNpbmEgZW4gZXNwcmF5IHF1ZSBjdXJhIGxhcyBxdWVtYWR1cmFzIGEKdW4gUG9rw6ltb24u
20	ice-heal	QW50aWhpZWxv	TWVkaWNpbmEgZW4gZXNwcmF5IHF1ZSBkZXNjb25nZWxhIGEgdW4gUG9rw6ltb24u
21	awakening	RGVzcGVydGFy	TWVkaWNpbmEgZW4gZXNwcmF5IHF1ZSBsaWJlcmEgYSB1biBQb2vDqW1vbiBkZQpsYXMgZ2FycmFzIGRlbCBzdWXDsW8u
22	paralyze-heal	QW50aXBhcmFsaXphZG9y	TWVkaWNpbmEgZW4gZXNwcmF5IHF1ZSBjdXJhIGEgdW4gUG9rw6ltb24KcGFyYWxpemFkby4=
23	full-restore	UmVzdGF1cmFyIFRvZG8=	TWVkaWNpbmEgcXVlIHJlc3RhdXJhIHRvZG9zIGxvcyBQUyB5IGN1cmEgdG9kb3MKbG9zIHByb2JsZW1hcyBkZSBlc3RhZG8gZGUgdW4gUG9rw6ltb24u
24	max-potion	UG9jacOzbiBNw6F4aW1h	TWVkaWNpbmEgZW4gZXNwcmF5IHF1ZSBjdXJhIGhlcmlkYXMgeSByZXN0YXVyYQp0b2RvcyBsb3MgUFMgZGUgdW4gUG9rw6ltb24u
25	hyper-potion	SGlwZXJwb2Npw7Nu	TWVkaWNpbmEgZW4gZXNwcmF5IHF1ZSBjdXJhIGhlcmlkYXMgeSByZXN0YXVyYQoxMjAgUFMgZGUgdW4gUG9rw6ltb24u
26	super-potion	U3VwZXJwb2Npw7Nu	TWVkaWNpbmEgZW4gZXNwcmF5IHF1ZSBjdXJhIGhlcmlkYXMgeSByZXN0YXVyYQo2MCBQUyBkZSB1biBQb2vDqW1vbi4=
27	full-heal	Q3VyYSBUb3RhbA==	TWVkaWNpbmEgZW4gZXNwcmF5IHF1ZSBjdXJhIHRvZG9zIGxvcyBwcm9ibGVtYXMKZGUgZXN0YWRvIGRlIHVuIFBva8OpbW9uLg==
28	revive	UmV2aXZpcg==	TWVkaWNpbmEgcXVlIHJldml2ZSBhIHVuIFBva8OpbW9uIGRlYmlsaXRhZG8geSBsZQpkZXZ1ZWx2ZSBsYSBtaXRhZCBkZSBzdXMgUFMu
